name,original_name,cell,x_um,y_um,width_um,height_um,orient,row
Xr1_a1_inv,Xr1_a1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.03999999999999,15.68,2.24,3.92,FS,bottom_ctrl_3
Xr1_a2_inv,Xr1_a2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.03999999999999,19.6,2.24,3.92,N,bottom_ctrl_4
Xr1_a3_inv,Xr1_a3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.03999999999999,23.52,2.24,3.92,FS,bottom_ctrl_5
Xr1_a4_inv,Xr1_a4_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.03999999999999,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xr1_a5_inv,Xr1_a5_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.03999999999999,31.36,2.24,3.92,FS,bottom_ctrl_7
Xr1_a6_inv,Xr1_a6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.03999999999999,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xr1_a7_inv,Xr1_a7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.03999999999999,606.28,2.24,3.92,N,top_ctrl_2
Xr1_a8_inv,Xr1_a8_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.03999999999999,610.1999999999999,2.24,3.92,FS,top_ctrl_3
Xr1_a9_inv,Xr1_a9_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.6,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xr1_grp0_inv,Xr1_grp0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,76.72,3.92,2.24,3.92,N,bottom_ctrl_0
Xr1_grp1_inv,Xr1_grp1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,76.72,7.84,2.24,3.92,FS,bottom_ctrl_1
Xr1_grp2_inv,Xr1_grp2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.27999999999999,11.76,2.24,3.92,N,bottom_ctrl_2
