name,cell,block,port,bit,phase,row_index,x_um,y_um,width_um,height_um,orient,gds
Xr1_bit15_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,15,1,1,771.22,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit17_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,17,1,1,797.325,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit19_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,19,1,1,823.425,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit21_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,21,1,1,849.53,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit23_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,23,1,1,875.635,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit25_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,25,1,1,901.74,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit27_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,27,1,1,927.84,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit29_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,29,1,1,953.945,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit31_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,31,1,1,980.05,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xw0_bit00_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,0,0,0,171.325,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
